subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons,time_taken,country,fluent_languages
3ihTMZn8,f,4,4.8,1.76,5,3,3,37.28,872.12,1045.89,937.8,937.8,862.71,1031.84,910.66,912.75,591,126.67,279.71,-311.29,1.95,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,6,2,4,42.48,854.99,1059.5,923.25,923.25,849.12,1046.31,890.94,893.17,710.25,126.67,975.54,265.29,1.66,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,7,3,8,37.28,872.12,1045.89,937.8,937.8,889.44,1059.57,914.88,912.54,1485.21,126.67,1685.18,199.97,1.25,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,8,1,6,45.1,882.92,1041.46,871.69,871.69,890.57,1041.89,837.69,836.84,1050.56,126.67,989.35,-61.21,0.38,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,9,5,10,42.48,854.99,1059.5,923.25,923.25,879.85,1081.49,901.78,898.85,1777.48,126.67,1806.04,28.56,0.18,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,10,2,7,37.28,872.12,1045.89,937.8,937.8,885.72,1054.73,912.5,910.47,1308.12,126.67,1811.22,503.1,3.14,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,11,4,9,42.48,854.99,1059.5,923.25,923.25,877.36,1077.84,899.2,896,1595.72,126.67,1844.03,248.31,1.55,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,12,4,2,45.1,882.92,1041.46,871.69,871.69,862.09,1017.35,843.75,846.52,327.56,126.67,347.05,19.49,0.12,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,13,1,5,42.48,854.99,1059.5,923.25,923.25,855.09,1051.42,890.41,891.42,857.32,126.67,1018.71,161.39,1.01,NA,NA,NA
3ihTMZn8,f,4,4.8,1.76,14,5,10,37.28,872.12,1045.89,937.8,937.8,893.51,1065.13,918.63,916.47,1777.48,126.67,1747.34,-30.14,0.19,NA,NA,NA
