b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.339003,0.00180771,3.48899,0.425067,-0.339003,2.54766,-176.542,0.7302
-0.35462,-0.00775041,3.09198,0.410673,-0.35462,2.75449,-179.652,0.890851
-0.348887,-0.00448953,2.96756,0.411067,-0.348887,2.95324,-178.168,0.995173
-0.339175,0.00294829,3.1586,0.414511,-0.339175,2.9405,-175.931,0.930951
-0.317348,0.00971479,2.86287,0.413691,-0.317348,3.18114,-174.687,1.11117
-0.310121,0.0302675,3.45681,0.420299,-0.310121,2.60818,-174.125,0.754504
-0.320382,0.0481699,2.50211,0.432072,-0.320382,2.76179,-175.544,1.10378
-0.324112,0.0289151,2.58944,0.439658,-0.324112,2.26025,-176.925,0.872873
-0.326469,0.0269561,2.31968,0.409831,-0.326469,2.94926,-174.63,1.27141
-0.294547,0.0174528,2.19556,0.439142,-0.294547,2.89558,-176.595,1.31883
-0.320903,0.0229759,5.09044,0.406061,-0.320903,3.42733,-175.702,0.673288
-0.318092,0.0455353,4.3661,0.435535,-0.318092,2.34831,-176.544,0.53785
-0.321264,0.0309245,3.80483,0.421445,-0.321264,2.40345,-174.777,0.631684
-0.293996,0.0378466,2.84627,0.420439,-0.293996,2.89259,-175.078,1.01628
-0.330721,-0.0116478,2.7323,0.4244,-0.330721,3.23104,-177.369,1.18254
-0.323426,0.0397018,2.5275,0.432426,-0.323426,3.07863,-175.203,1.21805
-0.324069,0.0248205,3.7721,0.453406,-0.324069,2.78489,-177.976,0.738287
-0.32608,0.0242278,3.85615,0.45186,-0.32608,2.86553,-177.65,0.743105
-0.327264,0.0292377,2.59572,0.416454,-0.327264,2.40865,-175.059,0.92793
-0.320079,0.0409739,3.35141,0.423314,-0.320079,2.85068,-174.231,0.850591
-0.330944,0.0257171,2.80852,0.431214,-0.330944,2.80827,-174.746,0.999911
-0.345278,0.017899,5.87038,0.422976,-0.345278,2.79571,-175.922,0.47624
-0.285825,0.0239758,1.24481,0.428667,-0.285825,2.94856,-178.471,2.36869
-0.299159,0.028986,1.91458,0.422929,-0.299159,2.80462,-175.07,1.46488
-0.297384,0.0299036,1.46047,0.416775,-0.297384,2.91272,-176.193,1.99437
-0.304259,0.0348231,1.42711,0.415848,-0.304259,2.45872,-176.297,1.72286
-0.308869,0.016581,1.79006,0.406797,-0.308869,2.92694,-175.592,1.63511
-0.302705,0.0290953,2.99446,0.414131,-0.302705,2.62124,-174.548,0.875365
-0.304802,0.0200106,3.91061,0.417488,-0.304802,2.68459,-174.245,0.686489
-0.328751,0.0332105,1.78273,0.422764,-0.328751,3.27556,-175.931,1.83739
-0.337957,0.0415658,1.61143,0.424636,-0.337957,2.85209,-176.471,1.76991
-0.275491,0.0379399,4.6938,0.422704,-0.275491,2.84803,-177.485,0.606764
-0.321423,0.0193958,3.65129,0.408801,-0.321423,2.89048,-174.264,0.791632
-0.290727,0.0223093,4.66093,0.40514,-0.290727,2.58844,-176.578,0.555348
-0.351466,0.0306515,3.26713,0.427689,-0.351466,3.08808,-176.561,0.945196
-0.301464,0.046621,5.00726,0.446421,-0.301464,3.1043,-177.879,0.619959
-0.302853,0.0463721,5.29186,0.444207,-0.302853,2.27301,-178.641,0.429529
-0.314061,0.0161753,6.69749,0.436157,-0.314061,2.33916,-176.799,0.349259
-0.317203,-0.000670028,5.79503,0.429689,-0.317203,3.46864,-176.669,0.598555
-0.312194,0.0425969,1.68248,0.412687,-0.312194,2.46878,-176.03,1.46735
-0.304766,0.0470197,2.03031,0.409825,-0.304766,2.54348,-176.228,1.25275
-0.309468,0.0400921,2.65118,0.396638,-0.309468,2.56404,-177.132,0.96713
-0.337597,0.0192273,3.20182,0.403346,-0.337597,2.63525,-176.216,0.823046
-0.295772,0.045228,1.616,0.437725,-0.295772,3.01122,-177.923,1.86338
-0.29385,0.0304222,1.40662,0.432235,-0.29385,3.35529,-178.604,2.38536
-0.314765,0.0314497,1.00034,0.426097,-0.314765,2.74215,-177.805,2.74122
-0.302314,0.0183922,2.12042,0.404397,-0.302314,2.74956,-175.754,1.2967
-0.298647,0.0207919,2.73879,0.40474,-0.298647,3.61547,-177.663,1.3201
-0.333694,0.0296591,1.78864,0.40651,-0.333694,2.29593,-177.219,1.28362
-0.331985,0.0142469,2.61194,0.416022,-0.331985,2.21053,-176.635,0.846317
-0.332382,0.0434483,1.8409,0.430647,-0.332382,2.17058,-177.648,1.17909
-0.325555,0.0525748,2.66433,0.429006,-0.325555,3.48106,-177.343,1.30654
-0.294123,0.0298563,1.59356,0.420039,-0.294123,3.68174,-179.295,2.31039
-0.328952,0.0274636,5.10624,0.418783,-0.328952,2.01423,-177.462,0.394464
-0.327682,0.0268125,5.19175,0.418553,-0.327682,2.76884,-174.21,0.533316
-0.291461,0.0400213,2.14853,0.427814,-0.291461,2.77956,-176.053,1.2937
-0.294095,0.0262756,2.43974,0.421717,-0.294095,3.13817,-175.226,1.28627
-0.281967,0.00672877,2.72235,0.421691,-0.281967,3.01382,-176.958,1.10707
-0.328215,0.0440244,3.29618,0.424294,-0.328215,2.85196,-174.724,0.86523
-0.315226,0.0117636,3.5343,0.414204,-0.315226,3.06683,-174.235,0.867734
-0.306262,0.0488968,2.54828,0.416889,-0.306262,2.94007,-175.252,1.15375
-0.345629,0.028897,1.72696,0.416544,-0.345629,2.97291,-176.619,1.72148
-0.327501,0.0520974,1.14721,0.408047,-0.327501,2.33568,-179.273,2.03596
-0.315258,0.032378,2.39796,0.447088,-0.315258,2.19544,-178.423,0.915544
-0.308262,0.028106,3.0519,0.43303,-0.308262,2.38527,-175.539,0.781568
-0.337122,0.00850714,2.95692,0.422678,-0.337122,2.57373,-175.702,0.870407
-0.333473,-0.00444203,4.19151,0.44698,-0.333473,2.65232,-178.968,0.632784
-0.330097,-0.0130329,4.04235,0.441528,-0.330097,3.10701,-178.653,0.768615
-0.330192,-0.00670082,5.54008,0.433003,-0.330192,3.39412,-177.632,0.612648
-0.30346,0.0608248,2.6232,0.412336,-0.30346,2.91363,-177.026,1.11072
-0.332159,0.023395,2.7688,0.43397,-0.332159,2.99893,-175.128,1.08312
-0.336107,0.0165182,1.47515,0.421429,-0.336107,2.6581,-176.316,1.80192
