b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.
-0.321385,-7.68365,8.47576,0.36257,-0.321385,1.50028,2.88027,7.76167,-92.0534,0.177008,0.339824,0.91575
-0.330237,-7.60327,7.21515,0.362834,-0.330237,1.3353,2.64807,7.50366,-93.1881,0.185069,0.367015,1.03999
-0.313073,-7.74054,4.54955,0.393003,-0.313073,1.79077,3.46837,8.19966,-93.9885,0.393614,0.762356,1.8023
-0.313654,-8.44936,4.26095,0.358716,-0.313654,0.695543,2.36397,7.78077,-93.4559,0.163236,0.554798,1.82606
-0.317802,-7.48739,5.88692,0.39001,-0.317802,1.31521,3.04113,7.59865,-93.2101,0.223412,0.516592,1.29077
-0.313627,-8.39284,5.12972,0.378014,-0.313627,1.42233,3.01489,8.57491,-92.1358,0.277271,0.587729,1.67161
-0.320469,-7.46365,3.50046,0.368848,-0.320469,1.07014,2.81225,7.60503,-92.5166,0.305714,0.803392,2.17258
-0.300209,-8.63239,7.14498,0.381598,-0.300209,1.53819,2.95773,8.62121,-92.2809,0.215283,0.41396,1.20661
-0.327906,-7.90852,5.55066,0.358339,-0.327906,0.846871,2.44319,7.5249,-92.5083,0.152571,0.440161,1.35568
-0.345974,-8.15316,5.21112,0.370961,-0.345974,1.22187,2.94599,8.20674,-93.1653,0.234474,0.565327,1.57485
-0.323107,-8.02116,4.08326,0.378271,-0.323107,1.05782,2.57722,7.88564,-92.0043,0.259062,0.631168,1.93121
-0.308351,-8.04994,5.19012,0.366231,-0.308351,0.982498,2.59513,8.01668,-93.6763,0.189302,0.500014,1.5446
-0.317128,-8.21503,6.70741,0.368844,-0.317128,0.765694,2.86672,7.79064,-96.0081,0.114156,0.427395,1.1615
-0.321859,-8.42661,5.75251,0.369457,-0.321859,0.864424,1.94077,7.72435,-94.1778,0.150269,0.337378,1.34278
-0.317867,-8.89787,6.90802,0.368073,-0.317867,0.719314,2.79308,8.47533,-94.0756,0.104127,0.404324,1.22688
-0.303744,-7.00437,7.24618,0.374264,-0.303744,2.28219,4.34571,8.47107,-94.4913,0.314951,0.599725,1.16904
-0.297969,-7.35549,6.73631,0.380678,-0.297969,1.84074,3.3381,7.94829,-91.8709,0.273256,0.495539,1.17992
-0.298922,-7.35296,6.96226,0.380351,-0.298922,1.76303,3.66877,8.1317,-92.5136,0.253227,0.526952,1.16797
-0.337259,-7.94931,7.22646,0.361096,-0.337259,1.70266,3.4623,8.39579,-92.855,0.235614,0.479115,1.16181
-0.337543,-7.9904,7.57079,0.359883,-0.337543,2.14745,3.48598,8.66204,-93.4891,0.28365,0.460451,1.14414
-0.288968,-7.47074,4.02499,0.369016,-0.288968,1.96636,3.35084,7.93947,-95.5002,0.488538,0.832511,1.97255
-0.296824,-6.9888,2.96153,0.372924,-0.296824,1.10895,2.67932,7.21824,-95.3505,0.374452,0.904709,2.43733
-0.306677,-8.3281,2.2974,0.362137,-0.306677,1.34112,2.72875,8.23351,-97.263,0.583756,1.18776,3.58384
-0.308497,-8.13701,2.36917,0.365654,-0.308497,1.26754,2.78451,7.89602,-97.3598,0.535015,1.17531,3.33282
-0.323809,-6.75524,3.59492,0.372713,-0.323809,2.98762,4.59471,8.47523,-96.8427,0.831066,1.27811,2.35755
-0.323625,-6.70942,3.33498,0.373235,-0.323625,2.8706,4.01021,8.07231,-97.7034,0.860756,1.20247,2.4205
-0.33977,-6.22141,2.55743,0.376978,-0.33977,1.41505,3.66043,7.14664,-100.426,0.55331,1.43129,2.79446
-0.294942,-8.2794,2.57297,0.380628,-0.294942,1.25815,2.81555,8.18109,-96.0805,0.488989,1.09428,3.17963
-0.340306,-7.28581,3.80065,0.354897,-0.340306,1.69673,2.7768,7.70395,-98.9152,0.446432,0.730611,2.02701
-0.335301,-7.26987,4.21367,0.36154,-0.335301,2.61013,4.41144,8.83233,-96.2183,0.619444,1.04694,2.09611
-0.329113,-7.26155,3.47521,0.365452,-0.329113,1.99097,3.27186,8.02021,-94.4602,0.572908,0.941486,2.30783
-0.322145,-7.06045,3.99923,0.363669,-0.322145,2.05053,3.50634,8.047,-93.5435,0.512731,0.876753,2.01214
-0.340249,-6.29308,3.21195,0.382467,-0.340249,2.21267,3.98157,7.64271,-96.7553,0.688886,1.23961,2.37946
-0.292166,-8.96842,4.6085,0.36949,-0.292166,0.154196,1.98947,7.88744,-95.2976,0.033459,0.431695,1.7115
-0.318827,-7.83445,5.20657,0.379843,-0.318827,2.19887,3.6117,8.58448,-91.7734,0.422326,0.693681,1.64878
-0.322981,-8.29666,5.05093,0.376716,-0.322981,1.22307,2.69806,8.14026,-91.082,0.242148,0.534172,1.61164
-0.298884,-7.55363,6.01022,0.386276,-0.298884,1.41565,2.97908,7.77893,-92.1446,0.235541,0.495669,1.29428
-0.300195,-7.24869,9.92334,0.373782,-0.300195,1.63899,3.43019,7.90205,-91.8854,0.165166,0.345669,0.79631
-0.320512,-7.37507,5.74858,0.383112,-0.320512,1.35235,3.15219,7.79061,-91.5913,0.235249,0.548342,1.35522
-0.308112,-8.45245,3.25901,0.367339,-0.308112,0.870661,2.37444,7.9266,-93.1168,0.267155,0.728577,2.43221
-0.329501,-7.12945,4.60983,0.370716,-0.329501,1.89915,3.42515,7.93221,-91.8575,0.411978,0.74301,1.72072
-0.302547,-8.30916,9.80924,0.373022,-0.302547,1.38408,2.94484,8.43995,-92.099,0.141099,0.300211,0.860407
-0.32262,-7.88643,3.89719,0.380374,-0.32262,2.23011,3.75265,8.80142,-93.3628,0.572236,0.962913,2.2584
-0.299781,-7.33045,4.48996,0.363153,-0.299781,0.335993,2.25654,6.993,-95.508,0.0748319,0.502574,1.55747
-0.341291,-7.20552,6.20808,0.378366,-0.341291,3.2424,4.54752,9.03078,-96.5704,0.522287,0.732517,1.45468
-0.330687,-7.16608,4.36501,0.380688,-0.330687,1.63695,3.18199,7.70088,-92.0768,0.375017,0.728976,1.76423
-0.325772,-7.27864,3.85062,0.377832,-0.325772,0.963879,2.67746,7.3937,-93.1059,0.250318,0.695333,1.92013
-0.325846,-8.01627,3.53415,0.379215,-0.325846,0.813946,2.31458,7.51595,-92.8482,0.230309,0.654917,2.12666
-0.324992,-8.02064,3.47405,0.379426,-0.324992,0.859241,2.20649,7.49478,-93.3571,0.247331,0.635135,2.15736
-0.328414,-7.64983,4.13679,0.389198,-0.328414,1.3108,2.67451,7.73703,-93.6989,0.316864,0.646517,1.8703
-0.303604,-8.57844,3.47564,0.365088,-0.303604,0.245234,1.74741,7.60024,-95.396,0.0705579,0.502761,2.18672
-0.300555,-8.47442,5.12798,0.381323,-0.300555,1.66378,3.38353,8.72641,-92.8927,0.324451,0.659817,1.70172
-0.312297,-7.35729,2.89777,0.37813,-0.312297,1.2094,2.77269,7.52074,-93.5391,0.417356,0.956838,2.59536
-0.316344,-8.90915,2.9275,0.379843,-0.316344,0.840717,2.25038,7.98412,-97.5291,0.287179,0.768703,2.72728
-0.290908,-7.17989,4.2777,0.374499,-0.290908,1.05025,2.72992,7.36442,-93.9613,0.245517,0.638174,1.72158
-0.315417,-6.78409,4.84563,0.372107,-0.315417,1.6544,3.30077,7.38458,-91.8972,0.341421,0.681185,1.52397
-0.312891,-6.76268,4.60293,0.370338,-0.312891,1.2763,3.11271,7.28253,-92.2827,0.277281,0.676245,1.58215
-0.342821,-7.94767,4.75459,0.370642,-0.342821,1.9589,3.39968,8.45445,-93.1318,0.412001,0.71503,1.77816
-0.331837,-7.61461,4.74909,0.371769,-0.331837,1.50894,3.17844,7.84683,-92.2313,0.317732,0.669274,1.65228
-0.319908,-7.80224,4.24985,0.371781,-0.319908,0.633722,2.31808,7.2626,-92.3128,0.149116,0.54545,1.70891
-0.31975,-7.82507,4.44014,0.371754,-0.31975,0.801702,2.08958,7.26157,-92.9127,0.180558,0.470611,1.63544
-0.316069,-7.91157,4.56229,0.36018,-0.316069,0.920266,2.97596,8.04523,-94.7664,0.201711,0.652296,1.76342
-0.314514,-8.25658,4.08462,0.355731,-0.314514,1.0244,2.1683,7.63478,-95.741,0.250795,0.530843,1.86915
-0.313201,-8.12341,4.52259,0.349568,-0.313201,1.25125,2.94019,8.16867,-93.853,0.276667,0.650113,1.8062
-0.320327,-7.8589,4.76465,0.382998,-0.320327,1.61078,3.37086,8.26362,-91.7478,0.338069,0.707472,1.73436
-0.298502,-8.20414,3.70631,0.372546,-0.298502,1.25966,2.78909,8.15144,-92.5277,0.339869,0.752525,2.19934
-0.321853,-7.172,4.66435,0.36063,-0.321853,0.130099,1.73754,6.41642,-96.0387,0.0278921,0.372515,1.37563
-0.322885,-7.93996,7.69621,0.365244,-0.322885,2.92192,4.62814,9.47349,-95.3565,0.379656,0.601353,1.23093
-0.318631,-7.9273,7.23989,0.365702,-0.318631,2.81872,3.91142,8.81158,-97.5342,0.389331,0.54026,1.21709
-0.331582,-8.30865,6.99037,0.381147,-0.331582,1.49159,2.81903,8.36015,-92.3096,0.213378,0.403274,1.19595
-0.310926,-8.26696,6.49439,0.376154,-0.310926,1.06972,2.53874,8.03302,-91.2086,0.164714,0.390913,1.23692
-0.315001,-6.90718,2.22888,0.367647,-0.315001,1.70119,3.41277,7.54282,-97.2662,0.763248,1.53116,3.38413
-0.29391,-8.36958,2.25759,0.379367,-0.29391,1.12271,2.77263,8.09209,-98.3629,0.497305,1.22814,3.58439
-0.295757,-7.51756,2.88905,0.37121,-0.295757,1.35155,3.01816,7.84295,-94.5323,0.467818,1.04469,2.71471
-0.311782,-7.40509,3.3749,0.365037,-0.311782,2.18437,3.70791,8.28992,-93.4316,0.647241,1.09867,2.45635
-0.316394,-6.55644,4.18677,0.389611,-0.316394,1.5182,3.43692,7.33396,-94.2298,0.362618,0.8209,1.7517
-0.31579,-7.06468,4.38411,0.369325,-0.31579,2.18972,3.77698,8.17231,-92.0564,0.499468,0.861515,1.86407
-0.326082,-7.38872,2.65631,0.377812,-0.326082,1.22804,3.06317,7.63097,-94.588,0.46231,1.15317,2.87278
-0.323383,-7.17869,4.5262,0.36568,-0.323383,2.44995,4.11483,8.39651,-93.2615,0.541281,0.909113,1.85509
-0.31098,-8.0634,4.00459,0.389686,-0.31098,0.496312,2.15423,7.49181,-93.9763,0.123936,0.537941,1.87081
-0.315289,-8.17069,5.54867,0.38575,-0.315289,2.54338,4.10468,9.1579,-94.2466,0.458377,0.739758,1.65047
-0.315448,-7.61859,5.04485,0.396536,-0.315448,1.01244,2.7304,7.26555,-98.4087,0.200689,0.541225,1.44019
-0.31245,-7.3251,5.91288,0.362872,-0.31245,0.772487,2.69594,7.17365,-92.9157,0.130645,0.455945,1.21322
-0.307091,-7.42886,7.32253,0.360435,-0.307091,2.01765,3.48383,8.2731,-92.376,0.27554,0.475769,1.12981
-0.317736,-7.19204,6.79221,0.376975,-0.317736,1.16726,2.99357,7.34643,-91.8875,0.171852,0.440736,1.0816
-0.327995,-8.23926,5.77118,0.378852,-0.327995,1.65566,3.10136,8.54692,-91.8967,0.286884,0.537387,1.48096
-0.319526,-8.50288,6.43513,0.371622,-0.319526,1.67262,3.23418,8.87605,-92.4357,0.25992,0.502581,1.37931
-0.336719,-8.12124,6.74369,0.368473,-0.336719,2.19768,3.77846,8.97074,-92.9569,0.325886,0.560296,1.33024
-0.311388,-7.69644,7.03869,0.39334,-0.311388,0.804309,2.60569,7.5138,-93.3624,0.11427,0.370196,1.0675
-0.311097,-7.2601,10.3231,0.396588,-0.311097,2.87774,4.09552,8.67201,-96.3806,0.278766,0.396732,0.840055
-0.316645,-8.17194,5.31953,0.352857,-0.316645,1.23722,3.06187,8.27236,-93.2323,0.232581,0.575589,1.55509
-0.315568,-8.18931,4.71356,0.362121,-0.315568,1.44823,2.63333,8.27327,-95.0347,0.307247,0.558671,1.75521
-0.317841,-7.51576,2.89043,0.384883,-0.317841,1.18169,2.82461,7.64661,-93.9378,0.40883,0.977231,2.6455
-0.333307,-7.51717,3.78943,0.361765,-0.333307,1.57131,3.0339,7.77963,-93.0959,0.414657,0.800621,2.05298
-0.320762,-7.6815,3.36538,0.369053,-0.320762,1.31907,3.17172,7.91213,-92.7191,0.391953,0.942456,2.35103
-0.325657,-7.4487,2.88189,0.372379,-0.325657,1.08245,2.65177,7.43961,-93.3855,0.375605,0.92015,2.5815
-0.303826,-7.80234,6.81089,0.379205,-0.303826,2.19614,3.78916,8.64827,-91.8807,0.322445,0.556337,1.26977
-0.2989,-7.69352,4.89645,0.3774,-0.2989,0.629903,2.4259,7.32452,-92.5586,0.128645,0.495441,1.49588
-0.307123,-7.68904,4.31648,0.386343,-0.307123,0.978655,2.68075,7.57651,-92.3416,0.226725,0.62105,1.75525
-0.299308,-7.94466,6.43019,0.389853,-0.299308,1.5812,3.1468,8.22103,-92.5851,0.245902,0.489379,1.27851
-0.301442,-8.14453,5.3676,0.382208,-0.301442,0.584904,2.29752,7.5467,-92.5446,0.108969,0.428034,1.40597
-0.333877,-7.99678,6.00602,0.372486,-0.333877,1.96534,3.48826,8.58804,-91.634,0.327229,0.580794,1.42991
-0.309721,-7.43825,7.53121,0.355135,-0.309721,0.742078,2.56681,7.24479,-93.5182,0.0985337,0.340823,0.961969
-0.303491,-7.39752,11.1918,0.357653,-0.303491,1.44841,3.0641,7.88442,-94.074,0.129416,0.273779,0.704479
-0.302001,-7.57638,11.3926,0.358098,-0.302001,1.97365,3.42728,8.20883,-92.9134,0.173239,0.300833,0.720538
-0.303397,-8.62822,11.0279,0.363026,-0.303397,0.613162,2.68318,8.18047,-94.929,0.0556011,0.243309,0.7418
-0.328796,-8.50831,6.35871,0.364784,-0.328796,1.03019,2.90356,8.33515,-92.3458,0.162012,0.456627,1.31082
-0.293895,-7.93699,11.8637,0.376666,-0.293895,1.44945,2.68389,7.91268,-93.5945,0.122175,0.226227,0.666966
-0.296533,-7.95185,8.79089,0.374365,-0.296533,1.19546,2.60808,7.82139,-92.0779,0.135988,0.29668,0.889716
-0.305772,-8.26232,5.38552,0.381759,-0.305772,1.69128,3.21988,8.30707,-94.6166,0.314042,0.597877,1.54248
-0.297472,-7.51226,5.40346,0.375155,-0.297472,0.643188,2.38367,6.9661,-95.2651,0.119032,0.441137,1.28919
-0.29914,-7.79434,5.04741,0.374404,-0.29914,0.893656,2.55325,7.36878,-93.9237,0.177052,0.505854,1.45991
-0.324008,-7.85563,5.07143,0.362799,-0.324008,1.19002,2.81459,7.73519,-91.9577,0.234652,0.554989,1.52525
-0.300417,-8.72368,5.26956,0.367378,-0.300417,1.43128,2.6824,8.63091,-93.8831,0.271613,0.509037,1.63788
-0.316866,-7.92336,4.76137,0.349197,-0.316866,0.470085,2.27489,7.47176,-95.8145,0.0987291,0.477782,1.56925
-0.317128,-7.94298,4.71342,0.349183,-0.317128,0.448053,2.26349,7.23129,-96.5901,0.0950589,0.480223,1.53419
-0.310557,-7.5187,5.10924,0.39074,-0.310557,1.42228,2.83386,7.83321,-93.8673,0.278375,0.554653,1.53315
-0.311375,-6.33219,7.56114,0.394486,-0.311375,1.36534,2.819,6.8508,-96.1198,0.180573,0.372827,0.906054
-0.311664,-6.35758,7.6236,0.395084,-0.311664,1.25621,2.88844,6.73817,-95.6091,0.164779,0.378881,0.883856
-0.317588,-6.26734,9.81866,0.393154,-0.317588,2.28909,3.69532,7.50853,-95.3743,0.233137,0.376356,0.76472
-0.328703,-8.03963,6.03937,0.371479,-0.328703,1.54605,3.06294,8.26833,-90.8344,0.255996,0.507163,1.36907
-0.288449,-7.89533,5.01003,0.362762,-0.288449,1.43542,3.00758,8.07058,-93.0544,0.286509,0.600313,1.61089
-0.34636,-8.28505,5.46722,0.384478,-0.34636,1.63822,3.30576,8.51893,-94.2151,0.299645,0.604651,1.55818
-0.349815,-8.22699,5.23713,0.386552,-0.349815,1.67009,2.81821,8.34341,-96.0323,0.318895,0.538121,1.59313
-0.320344,-8.13298,3.28947,0.398102,-0.320344,0.512811,1.95189,7.42128,-96.6937,0.155895,0.593375,2.25607
-0.316006,-7.53968,3.30983,0.391389,-0.316006,0.307376,2.51663,6.97517,-99.0695,0.0928674,0.760348,2.10741
-0.302751,-7.67981,4.26967,0.364883,-0.302751,1.05304,3.04313,7.79107,-92.976,0.246633,0.712732,1.82475
-0.308924,-8.29294,4.33595,0.373838,-0.308924,0.31182,2.32938,7.61619,-93.579,0.0719149,0.537225,1.75652
-0.309127,-9.09964,5.80436,0.377241,-0.309127,1.66714,2.84918,8.93673,-93.4856,0.287222,0.490869,1.53966
-0.320121,-7.72088,6.03306,0.354198,-0.320121,0.541003,2.59659,7.39221,-94.8332,0.089673,0.430394,1.22528
