b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
-7.54213,1.56395,-0.0519657,0.000457047,0.96244,1.27642,-6394.52
-7.52957,1.56396,-0.0519836,0.000457097,0.96248,1.27642,-6394.21
-7.5759,1.56394,-0.051799,0.000454717,0.963693,1.27649,-6380.3
-7.56393,1.56365,-0.0517908,0.000454438,0.9657,1.27662,-6355.25
-7.52251,1.56352,-0.0520284,0.000457974,0.966157,1.27668,-6349.36
-7.5532,1.56333,-0.0519038,0.000456431,0.966527,1.27667,-6343.83
-7.54203,1.56317,-0.051817,0.000454655,0.967045,1.27665,-6337
-7.49913,1.563,-0.0521524,0.000459978,0.9672,1.27664,-6335.39
-7.57087,1.56282,-0.0517879,0.000454903,0.967507,1.27665,-6329.93
-7.51919,1.56274,-0.05185,0.000454957,0.967444,1.27668,-6330.54
-7.55054,1.56248,-0.0518105,0.000455031,0.968598,1.27671,-6314.93
-7.47303,1.56248,-0.0520119,0.000457049,0.968791,1.27672,-6315.95
-7.61743,1.56242,-0.0516528,0.000453608,0.968683,1.27671,-6317.86
-7.60418,1.56246,-0.0517104,0.000454363,0.968605,1.2767,-6317.92
-7.52102,1.56247,-0.0517089,0.000452514,0.968596,1.2767,-6318.09
-7.55139,1.56266,-0.0520359,0.000459124,0.969147,1.27671,-6312.55
-7.62585,1.56262,-0.0515532,0.00045187,0.970278,1.27676,-6300.73
-7.51646,1.56218,-0.0520985,0.000459729,0.971249,1.27676,-6284.73
-7.50621,1.56224,-0.0519695,0.0004571,0.971649,1.27677,-6279.32
-7.51595,1.56218,-0.0519113,0.000456267,0.971769,1.27678,-6277.38
-7.52937,1.56192,-0.0517264,0.000453262,0.972419,1.27674,-6269.47
-7.52364,1.56192,-0.0518485,0.000455392,0.972883,1.27673,-6263.13
-7.56939,1.56205,-0.0516626,0.000452906,0.973047,1.27672,-6262.55
-7.55811,1.56205,-0.0517821,0.000454861,0.973162,1.27673,-6260.85
-7.53652,1.56196,-0.0519107,0.000456801,0.973573,1.27674,-6255.71
