b_Intercept,b_age_centered,b_Iage_centeredE2,sigma,Intercept,lp__
-0.106532,-0.0267016,0.000390376,0.430568,-0.31932,-172.048
-0.120506,-0.0267269,0.000384032,0.405567,-0.339153,-172.974
-0.0340058,-0.0302155,0.000419878,0.429665,-0.293229,-172.96
-0.0267774,-0.029282,0.00040134,0.396466,-0.282682,-176.752
-0.0936464,-0.0244832,0.000332977,0.403072,-0.309797,-173.397
-0.088477,-0.0277215,0.000403307,0.394427,-0.311061,-174.222
-0.0440875,-0.02963,0.00043566,0.411782,-0.278129,-175.499
-0.0875783,-0.0264843,0.000375922,0.413698,-0.308139,-171.206
-0.0808584,-0.0299905,0.000434614,0.424403,-0.323097,-171.749
-0.0570898,-0.0313056,0.000439277,0.424515,-0.322082,-171.811
-0.0426449,-0.0323541,0.000448054,0.430231,-0.321515,-172.92
-0.0408645,-0.0315059,0.00043813,0.42372,-0.310889,-172.054
-0.0759955,-0.0309081,0.000438467,0.413322,-0.333605,-172.207
-0.0698022,-0.0271946,0.000381095,0.436472,-0.300416,-172.592
-0.0523709,-0.029917,0.000423921,0.444849,-0.30213,-173.961
-0.104166,-0.0259029,0.000352649,0.415886,-0.332544,-172.423
-0.165474,-0.018933,0.000262716,0.421608,-0.328222,-174.892
-0.145495,-0.0197272,0.000267964,0.423395,-0.319935,-174.4
-0.0664341,-0.0300393,0.000432738,0.43141,-0.311243,-172.013
-0.129323,-0.0247907,0.000357869,0.422788,-0.330734,-171.926
-0.0548698,-0.0318219,0.000460938,0.413268,-0.312083,-172.393
-0.0914603,-0.0275234,0.00041079,0.429975,-0.303719,-173.393
-0.0726043,-0.0274927,0.000387489,0.430085,-0.303877,-171.678
-0.0796758,-0.0285358,0.000401127,0.414942,-0.320619,-171.075
-0.0865242,-0.0300249,0.000441068,0.414434,-0.32402,-172.431
-0.0891087,-0.0288945,0.000418766,0.414832,-0.322464,-171.499
-0.0858672,-0.0263496,0.000365995,0.422287,-0.312061,-171.234
-0.0747784,-0.0252194,0.000331594,0.422582,-0.307032,-173.967
-0.110338,-0.0252364,0.000374094,0.422531,-0.307117,-172.525
-0.131743,-0.0227104,0.00033883,0.417644,-0.306988,-173.523
-0.0607434,-0.0297589,0.000414642,0.394928,-0.315115,-173.995
-0.0788922,-0.0282029,0.000392694,0.404541,-0.320189,-172.044
-0.139764,-0.0230117,0.000333805,0.414128,-0.325359,-172.484
-0.0999823,-0.0242764,0.000331357,0.430269,-0.313301,-172.473
-0.121542,-0.0242693,0.000356851,0.430305,-0.313231,-172.611
-0.120504,-0.0227536,0.000313247,0.411787,-0.318188,-172.597
-0.15934,-0.0214007,0.000316065,0.41556,-0.327199,-173.836
-0.127133,-0.0240958,0.000343557,0.421848,-0.326506,-171.733
-0.130487,-0.0228128,0.000309583,0.421921,-0.332459,-173.223
-0.144598,-0.0227487,0.000329913,0.430943,-0.328137,-173.04
-0.134664,-0.0223068,0.000320952,0.428912,-0.316788,-172.681
-0.11552,-0.0237368,0.000324062,0.430479,-0.324038,-172.728
-0.0902419,-0.0274185,0.000400847,0.407078,-0.308752,-172.313
-0.0874149,-0.0272809,0.00039596,0.402443,-0.307251,-172.691
-0.0804116,-0.0294994,0.000406702,0.417614,-0.336209,-172.403
-0.0692615,-0.0254195,0.000343203,0.423873,-0.295792,-173.148
-0.0839043,-0.0252497,0.000361946,0.423758,-0.291193,-172.584
-0.063802,-0.0277164,0.000388451,0.418639,-0.298803,-171.585
-0.103243,-0.026817,0.000369348,0.418171,-0.336094,-172.153
-0.093061,-0.0253639,0.000348882,0.420505,-0.313675,-171.559
-0.10444,-0.0249767,0.000357728,0.430149,-0.309743,-171.835
-0.0448831,-0.0277624,0.000391151,0.425337,-0.278541,-173.904
-0.111232,-0.0271984,0.00037923,0.423375,-0.343492,-172.579
-0.0764803,-0.0290429,0.000407569,0.416638,-0.322284,-171.147
-0.0666363,-0.0290804,0.000410706,0.420879,-0.310557,-171.082
-0.064623,-0.0291959,0.000399971,0.41389,-0.319935,-171.93
-0.0791425,-0.0303468,0.000440389,0.41354,-0.323743,-171.971
-0.0969871,-0.0259381,0.000372942,0.414921,-0.308976,-171.339
-0.101701,-0.0265943,0.000387761,0.425852,-0.314515,-171.624
-0.104468,-0.0260753,0.000364885,0.43344,-0.32603,-172.035
-0.045874,-0.0321226,0.00045048,0.414326,-0.318002,-172.116
-0.115074,-0.0231722,0.000336997,0.423923,-0.301234,-172.705
-0.0490919,-0.0334217,0.00047137,0.42759,-0.329974,-173.172
-0.0962377,-0.0256185,0.000362746,0.426286,-0.310334,-171.344
-0.0784615,-0.0297915,0.000421872,0.425248,-0.3274,-171.514
-0.120114,-0.0250121,0.000360882,0.416061,-0.323477,-171.547
-0.0775306,-0.0288269,0.000402032,0.413316,-0.323619,-171.375
-0.127047,-0.0236785,0.000349211,0.413548,-0.313188,-172.645
-0.0447268,-0.0328402,0.000453016,0.42794,-0.329277,-173.44
-0.0565131,-0.0327852,0.000465808,0.427816,-0.329167,-172.795
-0.0541424,-0.0305698,0.000428184,0.417073,-0.313554,-171.462
-0.101588,-0.0283769,0.000406413,0.419598,-0.334852,-171.696
-0.118856,-0.0277845,0.00041515,0.437061,-0.332737,-174.406
-0.0508896,-0.0314482,0.000447579,0.42167,-0.311778,-171.698
-0.0493789,-0.0316725,0.00045367,0.42864,-0.309685,-172.216
-0.0295541,-0.0316686,0.000429967,0.428507,-0.309758,-173.502
-0.109883,-0.0273276,0.000408019,0.429143,-0.320503,-173.06
-0.072016,-0.025909,0.000372091,0.423251,-0.284131,-173.288
-0.050705,-0.0268869,0.000377739,0.442723,-0.277902,-175.746
-0.0644276,-0.027191,0.000382195,0.429775,-0.29404,-172.344
-0.0484121,-0.0304672,0.000428958,0.434714,-0.305089,-172.483
-0.0822655,-0.0289276,0.00042754,0.417251,-0.308898,-172.416
-0.0587203,-0.0288606,0.00039689,0.422985,-0.309825,-171.683
-0.0787714,-0.027535,0.000376689,0.403339,-0.320005,-172.758
-0.0630881,-0.0328012,0.000470634,0.41923,-0.331999,-172.858
-0.0426566,-0.0331744,0.0004527,0.425833,-0.334256,-174.415
-0.0949003,-0.0258797,0.000369451,0.431018,-0.308646,-171.729
-0.102774,-0.0283777,0.000406638,0.413619,-0.335866,-171.93
-0.0392616,-0.0368738,0.000528645,0.444958,-0.341919,-178.441
-0.0306833,-0.0368744,0.00051848,0.444951,-0.341919,-178.393
-0.192427,-0.0170979,0.000245334,0.428623,-0.332589,-176.96
0.00807369,-0.0358287,0.000496996,0.4078,-0.30005,-176.058
-0.030321,-0.0316251,0.000443756,0.416303,-0.298021,-172.51
-0.0350857,-0.0314517,0.000443893,0.416623,-0.299152,-172.282
-0.11042,-0.02354,0.000320959,0.431267,-0.31756,-172.783
-0.0894668,-0.0280052,0.000408646,0.427037,-0.313307,-171.739
-0.117093,-0.0226071,0.000311362,0.43825,-0.313394,-173.667
-0.106664,-0.0264355,0.00037135,0.432553,-0.330087,-172.045
-0.0965846,-0.02787,0.000392103,0.432165,-0.331624,-172.031
-0.0747636,-0.0288326,0.000423239,0.408509,-0.303094,-172.771
-0.0464146,-0.0295064,0.000402159,0.404744,-0.306183,-173.294
-0.0412457,-0.0311296,0.000436672,0.40398,-0.304862,-172.914
-0.0535395,-0.0311614,0.000450024,0.401493,-0.306549,-173.458
-0.156734,-0.0228934,0.000344078,0.418938,-0.331269,-174.099
-0.153831,-0.02248,0.000328733,0.418395,-0.332911,-173.201
-0.0737425,-0.0288319,0.000404627,0.439971,-0.317745,-172.664
-0.0622247,-0.0304949,0.000433975,0.399875,-0.315237,-172.984
-0.0699437,-0.0290425,0.000410917,0.401144,-0.312919,-172.432
-0.0831416,-0.0282463,0.000406586,0.4331,-0.313611,-171.85
-0.0794217,-0.0260502,0.000362196,0.438321,-0.302741,-172.908
-0.109717,-0.0254063,0.000367218,0.431588,-0.315739,-171.939
-0.0823501,-0.0289065,0.000409267,0.408955,-0.323956,-171.53
-0.101131,-0.027049,0.000380085,0.405366,-0.329639,-172.124
-0.0916619,-0.0286809,0.000408299,0.437659,-0.329506,-172.599
-0.0948695,-0.0270906,0.000386447,0.403747,-0.318862,-171.96
-0.100745,-0.0247054,0.000339675,0.417969,-0.315759,-171.698
-0.12122,-0.0248369,0.000366641,0.420032,-0.316177,-172.191
-0.0899807,-0.0248728,0.000330389,0.419935,-0.316217,-173.149
-0.0807681,-0.0248642,0.00031926,0.419968,-0.316209,-175.592
-0.079783,-0.0244736,0.000308841,0.41943,-0.316081,-177.108
-0.169254,-0.0224559,0.000355375,0.421679,-0.325393,-178.141
-0.130859,-0.0224688,0.000310089,0.421692,-0.325425,-172.573
-0.0750548,-0.0321493,0.000469227,0.417723,-0.331925,-173.188
-0.0836393,-0.0277424,0.000376039,0.421447,-0.32963,-172.413
-0.098517,-0.0256787,0.000361571,0.424572,-0.314826,-171.195
-0.113461,-0.023465,0.000324412,0.433158,-0.316171,-172.645
-0.0704715,-0.0295106,0.000430035,0.426237,-0.306831,-172.02
-0.109388,-0.0244092,0.000340415,0.409713,-0.317768,-171.872
-0.0487182,-0.031844,0.000459372,0.41733,-0.3077,-172.225
-0.0758128,-0.0236568,0.000315855,0.425095,-0.289625,-174.595
-0.0761774,-0.0253561,0.000352196,0.428693,-0.293841,-172.648
-0.0746082,-0.0251909,0.000347932,0.429773,-0.292515,-172.995
-0.0782933,-0.0252811,0.000353534,0.428396,-0.293308,-172.588
-0.0847849,-0.0306779,0.0004364,0.451729,-0.339465,-176.101
-0.113533,-0.0232822,0.000324808,0.401008,-0.312197,-173.424
-0.120498,-0.0252667,0.000374955,0.408754,-0.317167,-172.907
-0.0597855,-0.027732,0.000376842,0.404552,-0.304886,-173.192
-0.0598221,-0.0277417,0.000377182,0.404502,-0.304833,-173.174
-0.12898,-0.023561,0.000355129,0.420477,-0.307749,-173.767
-0.0670814,-0.0290393,0.000423014,0.433935,-0.299797,-172.887
-0.126747,-0.0266023,0.000389891,0.41809,-0.337929,-172.614
-0.0175692,-0.0339228,0.000477633,0.422618,-0.30334,-173.266
-0.0238915,-0.0317061,0.000422088,0.419251,-0.311498,-174.813
-0.0624651,-0.0316923,0.000467473,0.419307,-0.311541,-173.147
-0.0595029,-0.0299082,0.000418166,0.419883,-0.313933,-171.291
-0.0356488,-0.0337407,0.000479381,0.413113,-0.316252,-172.956
-0.0524832,-0.0322893,0.000460783,0.402539,-0.319309,-173.319
