b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,lp__,zs_1_1.1.,zs_1_1.2.
-0.340498,-8.25439,3.48522,0.387183,-0.340498,6.88174,-0.459955,-112.015,1.97455,-0.131973
-0.336191,-8.08761,4.06933,0.377175,-0.336191,6.67467,-0.628416,-110.955,1.64024,-0.154427
-0.324898,-8.21425,4.08728,0.37312,-0.324898,6.85451,-0.503573,-110.542,1.67703,-0.123205
-0.330749,-7.69115,3.94075,0.390588,-0.330749,6.35339,-0.580446,-111.207,1.61223,-0.147293
-0.307329,-7.64748,2.90252,0.403185,-0.307329,6.32143,-0.356034,-113.864,2.17791,-0.122664
-0.305882,-8.83212,3.43069,0.378297,-0.305882,7.33791,-0.869557,-111.696,2.1389,-0.253464
-0.309188,-9.42185,3.23759,0.388733,-0.309188,7.76226,-0.99142,-112.552,2.39755,-0.306222
-0.308401,-9.57008,3.18455,0.389175,-0.308401,7.78479,-0.935883,-112.497,2.44455,-0.293883
-0.324418,-8.57367,4.56002,0.372532,-0.324418,7.13696,-0.513101,-110.811,1.56512,-0.112522
-0.322927,-7.3528,3.35738,0.376655,-0.322927,6.05617,-0.550224,-112.069,1.80384,-0.163885
-0.313963,-7.42132,3.25821,0.381227,-0.313963,6.22371,-0.295057,-111.422,1.91016,-0.0905579
-0.322002,-9.06946,3.78245,0.365033,-0.322002,7.33409,-1.14401,-113.519,1.93898,-0.302452
-0.321653,-9.08735,3.91673,0.366331,-0.321653,7.26033,-1.08098,-112.735,1.85367,-0.27599
-0.314681,-7.68887,2.57631,0.392817,-0.314681,6.46472,-0.532061,-112.68,2.50929,-0.20652
-0.329951,-7.98688,4.79341,0.402153,-0.329951,6.57563,-0.483117,-112.131,1.37181,-0.100788
-0.330177,-7.27646,4.40409,0.369685,-0.330177,6.11381,-0.0455895,-114.698,1.38821,-0.0103516
-0.300728,-8.36969,3.1509,0.377801,-0.300728,7.09533,-0.815938,-114.644,2.25184,-0.258954
-0.305282,-7.90376,3.2682,0.37088,-0.305282,6.26462,-0.670341,-114.61,1.91684,-0.20511
-0.30554,-8.83639,2.99823,0.385894,-0.30554,7.54955,-0.723171,-114.955,2.51801,-0.2412
-0.297281,-8.95859,3.3212,0.384971,-0.297281,7.46133,-1.00254,-113.99,2.24658,-0.301862
-0.335928,-7.10753,4.86376,0.385205,-0.335928,5.75112,-0.0636668,-118.358,1.18244,-0.01309
-0.346664,-6.80971,4.53414,0.391553,-0.346664,5.36555,-0.358612,-120.256,1.18337,-0.0790915
-0.300471,-8.23234,2.73895,0.397014,-0.300471,6.92624,-1.17406,-122.273,2.5288,-0.428655
-0.300676,-8.23068,2.68965,0.397038,-0.300676,6.72555,-1.1499,-117.566,2.50053,-0.427527
-0.286624,-9.3338,3.05013,0.400884,-0.286624,7.88222,-0.67258,-117.424,2.58422,-0.220508
-0.321312,-7.95249,3.48313,0.399926,-0.321312,6.25183,-0.94368,-115.096,1.79489,-0.270929
-0.321676,-7.72242,3.29233,0.398135,-0.321676,6.3291,-0.445249,-112.43,1.92238,-0.135238
-0.301218,-9.33713,4.7832,0.370067,-0.301218,7.45811,-1.04225,-112.359,1.55923,-0.217898
-0.316387,-8.63063,4.43116,0.378059,-0.316387,6.98424,-0.804098,-110.035,1.57617,-0.181465
-0.33771,-8.79671,4.59608,0.390298,-0.33771,7.1003,-0.873048,-111.341,1.54486,-0.189955
-0.290591,-8.18933,3.72625,0.384769,-0.290591,7.06731,-0.594637,-115.168,1.89663,-0.159581
-0.303326,-7.50304,2.96867,0.387415,-0.303326,6.31033,-0.610914,-112.988,2.12564,-0.205787
-0.308942,-7.93698,2.52619,0.378919,-0.308942,6.83356,-0.423452,-113.998,2.70509,-0.167625
-0.302504,-8.78527,2.60348,0.37551,-0.302504,7.44667,-0.486175,-114.689,2.86027,-0.18674
-0.332986,-7.29791,2.33781,0.375505,-0.332986,6.35803,-0.497633,-118.244,2.71965,-0.212863
-0.330986,-7.20374,2.23818,0.375768,-0.330986,6.25536,-0.531523,-118.626,2.79484,-0.23748
-0.327487,-7.7028,2.63803,0.376698,-0.327487,6.38865,-0.664875,-112.859,2.42175,-0.252034
-0.324734,-9.18754,3.4213,0.384067,-0.324734,7.58006,-0.817088,-111.308,2.21555,-0.238823
-0.32735,-8.17667,5.0158,0.366305,-0.32735,6.65687,-0.710364,-111.583,1.32718,-0.141625
-0.312548,-8.75943,3.62883,0.364802,-0.312548,7.16064,-0.789811,-111.845,1.97326,-0.217649
-0.321825,-8.1175,3.82342,0.387844,-0.321825,6.69019,-0.678416,-110.215,1.74979,-0.177437
-0.325612,-8.66281,7.93282,0.385906,-0.325612,7.19129,-0.857553,-110.728,0.906524,-0.108102
-0.311514,-8.68544,5.76055,0.377902,-0.311514,7.15374,-0.668157,-109.671,1.24185,-0.115988
